"Participant","Session","MsgId","Type","Messages","CurrentAction","NextIntents","ResponseNextMsg?","ResponseMsgId","ResponseMessages","ResponseCurrentAction","ResponseNextIntents","App","AppVersion"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","11","user","I tapped the More options button","","","y","12","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","12","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","13","yes","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","13","user","yes","","","y","14","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","14","bot","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","y","15","I clicked on the Add Token option","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","15","user","I clicked on the Add Token option","","","y","16","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","16","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","17","yes","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","17","user","yes","","","y","18","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","18","bot","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","y","19","I typed an Android Token name","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","19","user","I typed an Android Token name","","","y","20","Oops; the terms ""Android Token name"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","20","bot","Oops; the terms ""Android Token name"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","21","I typed the name","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","21","user","I typed the name","","","y","22","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","22","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","23","I clicked on the Next button","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","23","user","I clicked on the Next button","","","y","24","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","24","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","25","yes","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","25","user","yes","","","y","26","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","26","bot","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","y","27","I selected Generate Random Seed option","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","27","user","I selected Generate Random Seed option","","","y","28","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","28","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","29","yes","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","29","user","yes","","","y","30","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","30","bot","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","y","31","I clicked on the Complete button","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","31","user","I clicked on the Complete button","","","y","32","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","32","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","33","yes","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","33","user","yes","","","y","34","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","34","bot","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","y","35","I clicked on the More Options button","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","35","user","I clicked on the More Options button","","","y","36","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","36","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","37","yes","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","37","user","yes","","","y","38","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","38","bot","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","y","39","I clicked on the Delete Token","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","39","user","I clicked on the Delete Token","","","y","40","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","40","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","41","no","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","41","user","no","","","y","42"," Ok; then I couldn't recognize this step. Please <b>rephrase the step or provide a another one</b>","PROVIDE_S2R_NO_MATCH","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","42","bot"," Ok; then I couldn't recognize this step. Please <b>rephrase the step or provide a another one</b>","PROVIDE_S2R_NO_MATCH","S2R_DESCRIPTION","y","43","I clicked on the Delete Token option","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","43","user","I clicked on the Delete Token option","","","y","44","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","44","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","45","yes","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","45","user","yes","","","y","46","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","46","bot","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","y","47","I selected the token","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","47","user","I selected the token","","","y","48","Oops; the terms ""token"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","48","bot","Oops; the terms ""token"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","49","I selected the radio button ","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","49","user","I selected the radio button ","","","y","50","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","50","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","51","I click on the OK button","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","51","user","I click on the OK button","","","y","52","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","52","bot","Ok; just to double check; is this the step that you are reporting?","CONFIRM_MATCHED_S2R","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","53","yes","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","53","user","yes","","","y","54","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","54","bot","Okay; please provide the <b>next step</b> that you performed","PREDICT_FIRST_S2R_PATH","S2R_DESCRIPTION","y","55","I did nothing ","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","55","user","I did nothing ","","","y","56","Oops; the terms ""do"" <b>do not match a valid action</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","56","bot","Oops; the terms ""do"" <b>do not match a valid action</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","57","This is the last step","","","Android_Token","2.10"
"P1","36e34089-985f-4fe5-84ed-bf6896529f59","57","user","This is the last step","","","","","","","","Android_Token","2.10"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","1","user","P1","","","y","2","Hi P1; please <b>select the app</b> that is having the problem","SELECT_APP","APP_SELECTED","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","2","bot","Hi P1; please <b>select the app</b> that is having the problem","SELECT_APP","APP_SELECTED","y","3","; selectedValues = 4","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","3","user","; selectedValues = 4","","","y","4","Okay; please tell me the <b>incorrect behavior</b> that you observed on ATimeTracker","CONFIRM_APP","OB_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","4","bot","Okay; please tell me the <b>incorrect behavior</b> that you observed on ATimeTracker","CONFIRM_APP","OB_DESCRIPTION","y","5","The app stopped working","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","5","user","The app stopped working","","","y","6","Oops; your description doesn't seem to match the language of the app. Please <b>rephrase the incorrect behavior</b> differently","REPHRASE_OB","OB_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","6","bot","Oops; your description doesn't seem to match the language of the app. Please <b>rephrase the incorrect behavior</b> differently","REPHRASE_OB","OB_DESCRIPTION","y","7","Time Tracker has stopped working after trying to Add a new time range","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","7","user","Time Tracker has stopped working after trying to Add a new time range","","","y","8","Got it. From the list below; select the screen that is <b>having or triggering</b> the problem.  Please click the ""<b>done</b>"" button after you have selected it","SELECT_OB_SCREEN","OB_SCREEN_SELECTED","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","8","bot","Got it. From the list below; select the screen that is <b>having or triggering</b> the problem.  Please click the ""<b>done</b>"" button after you have selected it","SELECT_OB_SCREEN","OB_SCREEN_SELECTED","y","9","done; selectedValues = 0","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","9","user","done; selectedValues = 0","","","y","10","Got it; please tell me how the app is <b>supposed to work</b>","CONFIRM_SELECTED_OB_SCREEN","EB_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","10","bot","Got it; please tell me how the app is <b>supposed to work</b>","CONFIRM_SELECTED_OB_SCREEN","EB_DESCRIPTION","y","11","The app should allow adding a new time range without crashing","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","11","user","The app should allow adding a new time range without crashing","","","y","12","Okay; this description doesn't seem to match the problematic app screen. Is this the screen that should work fine?","CLARIFY_EB","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","12","bot","Okay; this description doesn't seem to match the problematic app screen. Is this the screen that should work fine?","CLARIFY_EB","AFFIRMATIVE_ANSWER, NEGATIVE_ANSWER","y","13","yes","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","13","user","yes","","","y","14","Okay; now I need the steps that you performed and caused the problem. <b>The next steps</b> that you performed <b>after you opened the app</b> might be the following (see the list below). Please <b>select the steps</b> that you actually performed","PREDICT_FIRST_S2R_PATH","S2R_PREDICTED_SELECTED","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","14","bot","Okay; now I need the steps that you performed and caused the problem. <b>The next steps</b> that you performed <b>after you opened the app</b> might be the following (see the list below). Please <b>select the steps</b> that you actually performed","PREDICT_FIRST_S2R_PATH","S2R_PREDICTED_SELECTED","y","15","done; selectedValues = 4","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","15","user","done; selectedValues = 4","","","y","16","Okay; it seems <b>the next steps</b> that you performed might be the following (see the list below). Please <b>select the steps</b> that you actually performed","PREDICT_FIRST_S2R_PATH","S2R_PREDICTED_SELECTED","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","16","bot","Okay; it seems <b>the next steps</b> that you performed might be the following (see the list below). Please <b>select the steps</b> that you actually performed","PREDICT_FIRST_S2R_PATH","S2R_PREDICTED_SELECTED","y","17","done; selectedValues = 2","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","17","user","done; selectedValues = 2","","","y","18","Okay; is this <b>the last step</b> that you performed: ""Tap the ""More options"" image button""?","PREDICT_FIRST_S2R_PATH","NO_EXPECTED_INTENT","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","18","bot","Okay; is this <b>the last step</b> that you performed: ""Tap the ""More options"" image button""?","PREDICT_FIRST_S2R_PATH","NO_EXPECTED_INTENT","y","19","no","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","19","user","no","","","y","20","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","20","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","21","I tapped on Add task","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","21","user","I tapped on Add task","","","y","22","Oops; some vocabulary in this step is missing or I wasn't able to identify it. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","22","bot","Oops; some vocabulary in this step is missing or I wasn't able to identify it. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","23","I clicked on the Add task option","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","23","user","I clicked on the Add task option","","","y","24","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","24","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","25","I entered a Task name","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","25","user","I entered a Task name","","","y","26","Oops; I couldn't recognize the step. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","26","bot","Oops; I couldn't recognize the step. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","27","I typed the task name","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","27","user","I typed the task name","","","y","28","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","28","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","29","I clicked on the Add task button","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","29","user","I clicked on the Add task button","","","y","30","Oops; the terms ""on Add task button"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","30","bot","Oops; the terms ""on Add task button"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","31","I tapped on the button to Add task","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","31","user","I tapped on the button to Add task","","","y","32","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","32","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","33","I long tap on the task record ","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","33","user","I long tap on the task record ","","","y","34","Oops; the terms ""on task record"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","34","bot","Oops; the terms ""on task record"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","35","I long tap on the task ","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","35","user","I long tap on the task ","","","y","36","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","36","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","37","I clicked on the Show Times","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","37","user","I clicked on the Show Times","","","y","38","Oops; the terms ""on Show Times"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","38","bot","Oops; the terms ""on Show Times"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","39","I clicked on the option to Show Times","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","39","user","I clicked on the option to Show Times","","","y","40","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","40","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","41","I click on More options","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","41","user","I click on More options","","","y","42","Oops; the terms ""on More options"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","42","bot","Oops; the terms ""on More options"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","43","I tapped the More options button","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","43","user","I tapped the More options button","","","y","44","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","44","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","45","I tapped the Add a new time range ","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","45","user","I tapped the Add a new time range ","","","y","46","Oops; the terms ""Add"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","46","bot","Oops; the terms ""Add"" <b>do not match a valid UI component</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","47","I clicked on the option to Add a new time range","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","47","user","I clicked on the option to Add a new time range","","","y","48","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","48","bot","Got it; what is the <b>step</b> that you performed next?","PROVIDE_S2R","S2R_DESCRIPTION","y","49","I did nothing","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","49","user","I did nothing","","","y","50","Oops; the terms ""do"" <b>do not match a valid action</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","50","bot","Oops; the terms ""do"" <b>do not match a valid action</b> from the app. Please <b>rephrase the step</b> more accurately <b>or provide a different one</b>","REPHRASE_S2R","S2R_DESCRIPTION","y","51","This is the last step","","","ATimeTracker","0.20"
"P1","03a788b4-cd21-4e97-9c63-1d20cc9a9fe7","51","user","This is the last step","","","y","52","Okay; great!. The <b>bug report ID</b> that you need to provide in the survey is:. <b>P1-ATimeTracker-0.20-03a788b4-cd21-4e97-9c63-1d20cc9a9fe7</b>. The button below will take you to the <b>bug report</b> you just issued. Thank you for using BURT","REPORT_SUMMARY","NO_EXPECTED_INTENT","ATimeTracker","0.20"
