Participant,Px,Bug_ID,App,Reporting_order,BR_link,text,text_type,missing_screen?
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,I clicked on the Go button,S2R,
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,I long tapped the Weight record,S2R,x
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,I tapped the Add previous comment option,S2R,
P1,1,DROID-CC6,DROID,1,http://rocco.cs.wm.edu:21203/P1-Droid_Weight-1.5.4-6f6325ac-d8cc-46cf-b37c-b54a6c7fbacf.html,I did nothing,S2R,x
P1,1,TIME-CC4,TIME,2,http://rocco.cs.wm.edu:21203/P1-ATimeTracker-0.20-03a788b4-cd21-4e97-9c63-1d20cc9a9fe7.html,,,
P1,1,TIME-CC4,TIME,2,http://rocco.cs.wm.edu:21203/P1-ATimeTracker-0.20-03a788b4-cd21-4e97-9c63-1d20cc9a9fe7.html,Time Tracker has stopped working after trying to Add a new time range,OB,
P1,1,TIME-CC4,TIME,2,http://rocco.cs.wm.edu:21203/P1-ATimeTracker-0.20-03a788b4-cd21-4e97-9c63-1d20cc9a9fe7.html,The app should allow adding a new time range without crashing,EB,
P1,1,TIME-CC4,TIME,2,http://rocco.cs.wm.edu:21203/P1-ATimeTracker-0.20-03a788b4-cd21-4e97-9c63-1d20cc9a9fe7.html,"Tap the ""button 1 (OK)"" button",S2R,
P1,1,TIME-CC4,TIME,2,http://rocco.cs.wm.edu:21203/P1-ATimeTracker-0.20-03a788b4-cd21-4e97-9c63-1d20cc9a9fe7.html,"Tap the ""More options"" image button",S2R,
P1,1,TIME-CC4,TIME,2,http://rocco.cs.wm.edu:21203/P1-ATimeTracker-0.20-03a788b4-cd21-4e97-9c63-1d20cc9a9fe7.html,I clicked on the Add task option,S2R,x
P1,1,TIME-CC4,TIME,2,http://rocco.cs.wm.edu:21203/P1-ATimeTracker-0.20-03a788b4-cd21-4e97-9c63-1d20cc9a9fe7.html,I typed the task name,S2R,x
P1,1,TIME-CC4,TIME,2,http://rocco.cs.wm.edu:21203/P1-ATimeTracker-0.20-03a788b4-cd21-4e97-9c63-1d20cc9a9fe7.html,I tapped on the button to Add task,S2R,x
P1,1,TIME-CC4,TIME,2,http://rocco.cs.wm.edu:21203/P1-ATimeTracker-0.20-03a788b4-cd21-4e97-9c63-1d20cc9a9fe7.html,I long tap on the task ,S2R,x
P1,1,TIME-CC4,TIME,2,http://rocco.cs.wm.edu:21203/P1-ATimeTracker-0.20-03a788b4-cd21-4e97-9c63-1d20cc9a9fe7.html,I clicked on the option to Show Times,S2R,x
P1,1,TIME-CC4,TIME,2,http://rocco.cs.wm.edu:21203/P1-ATimeTracker-0.20-03a788b4-cd21-4e97-9c63-1d20cc9a9fe7.html,I tapped the More options button,S2R,x
P1,1,TIME-CC4,TIME,2,http://rocco.cs.wm.edu:21203/P1-ATimeTracker-0.20-03a788b4-cd21-4e97-9c63-1d20cc9a9fe7.html,I clicked on the option to Add a new time range,S2R,x
P1,1,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P1-Android_Token-2.10-36e34089-985f-4fe5-84ed-bf6896529f59.html,,,
P1,1,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P1-Android_Token-2.10-36e34089-985f-4fe5-84ed-bf6896529f59.html,The app stopped after trying to delete an Android token,OB,x
P1,1,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P1-Android_Token-2.10-36e34089-985f-4fe5-84ed-bf6896529f59.html,The app should allow to delete records,EB,x
P1,1,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P1-Android_Token-2.10-36e34089-985f-4fe5-84ed-bf6896529f59.html,I tapped the More options button,S2R,
P1,1,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P1-Android_Token-2.10-36e34089-985f-4fe5-84ed-bf6896529f59.html,I clicked on the Add Token option,S2R,
P1,1,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P1-Android_Token-2.10-36e34089-985f-4fe5-84ed-bf6896529f59.html,I typed the name,S2R,x
P1,1,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P1-Android_Token-2.10-36e34089-985f-4fe5-84ed-bf6896529f59.html,I clicked on the Next button,S2R,
P1,1,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P1-Android_Token-2.10-36e34089-985f-4fe5-84ed-bf6896529f59.html,I selected Generate Random Seed option,S2R,
P1,1,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P1-Android_Token-2.10-36e34089-985f-4fe5-84ed-bf6896529f59.html,I clicked on the Complete button,S2R,
P1,1,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P1-Android_Token-2.10-36e34089-985f-4fe5-84ed-bf6896529f59.html,I clicked on the More Options button,S2R,
P1,1,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P1-Android_Token-2.10-36e34089-985f-4fe5-84ed-bf6896529f59.html,I clicked on the Delete Token option,S2R,
P1,1,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P1-Android_Token-2.10-36e34089-985f-4fe5-84ed-bf6896529f59.html,I selected the radio button ,S2R,x
P1,1,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P1-Android_Token-2.10-36e34089-985f-4fe5-84ed-bf6896529f59.html,I click on the OK button,S2R,
P13,13,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P13-AntennaPod-1.6.2.3-130e049f-fb2b-4458-a031-a079937d05fa.html,,,
P13,13,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P13-AntennaPod-1.6.2.3-130e049f-fb2b-4458-a031-a079937d05fa.html,cannot find podcast in directory,OB,x
P13,13,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P13-AntennaPod-1.6.2.3-130e049f-fb2b-4458-a031-a079937d05fa.html,the app should be able to find the podcast using ITunes,EB,x
P13,13,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P13-AntennaPod-1.6.2.3-130e049f-fb2b-4458-a031-a079937d05fa.html,"I click ""add podcast"" in the sidebar",S2R,
P13,13,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P13-AntennaPod-1.6.2.3-130e049f-fb2b-4458-a031-a079937d05fa.html,"I click ""search Itunes""",S2R,
P13,13,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P13-AntennaPod-1.6.2.3-130e049f-fb2b-4458-a031-a079937d05fa.html,"I search with keyword ""mis""",S2R,x
P13,13,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P13-AntennaPod-1.6.2.3-130e049f-fb2b-4458-a031-a079937d05fa.html,I click on the search icon,S2R,
P13,13,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P13-AntennaPod-1.6.2.3-130e049f-fb2b-4458-a031-a079937d05fa.html,"I search with key word ""mis""",S2R,x
P13,13,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P13-AntennaPod-1.6.2.3-130e049f-fb2b-4458-a031-a079937d05fa.html,I click the search icon,S2R,
P13,13,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P13-AntennaPod-1.6.2.3-130e049f-fb2b-4458-a031-a079937d05fa.html,I type mis,S2R,x
P13,13,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P13-AntennaPod-1.6.2.3-130e049f-fb2b-4458-a031-a079937d05fa.html,I search with mis.,S2R,
P13,13,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P13-AntennaPod-1.6.2.3-130e049f-fb2b-4458-a031-a079937d05fa.html,"I enter ""mis"" in the search bar",S2R,x
P13,13,TIME-CC1,TIME,2,http://rocco.cs.wm.edu:21203/P13-ATimeTracker-0.20-6d171258-430d-4ba0-8328-f9a9a5ec6c19.html,,,
P13,13,TIME-CC1,TIME,2,http://rocco.cs.wm.edu:21203/P13-ATimeTracker-0.20-6d171258-430d-4ba0-8328-f9a9a5ec6c19.html,time range cannot be added to task,OB,
P13,13,TIME-CC1,TIME,2,http://rocco.cs.wm.edu:21203/P13-ATimeTracker-0.20-6d171258-430d-4ba0-8328-f9a9a5ec6c19.html,the new time range should be added to the existing task,EB,
P13,13,TIME-CC1,TIME,2,http://rocco.cs.wm.edu:21203/P13-ATimeTracker-0.20-6d171258-430d-4ba0-8328-f9a9a5ec6c19.html,"Tap the ""button 1 (OK)"" button",S2R,
P13,13,TIME-CC1,TIME,2,http://rocco.cs.wm.edu:21203/P13-ATimeTracker-0.20-6d171258-430d-4ba0-8328-f9a9a5ec6c19.html,"I tap ""more options"" icon",S2R,
P13,13,TIME-CC1,TIME,2,http://rocco.cs.wm.edu:21203/P13-ATimeTracker-0.20-6d171258-430d-4ba0-8328-f9a9a5ec6c19.html,"Tap the ""title (Add task)"" text view",S2R,
P13,13,TIME-CC1,TIME,2,http://rocco.cs.wm.edu:21203/P13-ATimeTracker-0.20-6d171258-430d-4ba0-8328-f9a9a5ec6c19.html,"Type a valid input on the ""task edit name edit"" text field",S2R,
P13,13,TIME-CC1,TIME,2,http://rocco.cs.wm.edu:21203/P13-ATimeTracker-0.20-6d171258-430d-4ba0-8328-f9a9a5ec6c19.html,"Tap the ""button 1 (ADD TASK)"" button",S2R,
P13,13,TIME-CC1,TIME,2,http://rocco.cs.wm.edu:21203/P13-ATimeTracker-0.20-6d171258-430d-4ba0-8328-f9a9a5ec6c19.html,I long press the task,S2R,x
P13,13,TIME-CC1,TIME,2,http://rocco.cs.wm.edu:21203/P13-ATimeTracker-0.20-6d171258-430d-4ba0-8328-f9a9a5ec6c19.html,"Long tap the ""list"" list view",S2R,
P13,13,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P13-Android_Token-2.10-1bf66f2b-9a9b-4dc9-af69-9c1b2712e65d.html,,,
P13,13,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P13-Android_Token-2.10-1bf66f2b-9a9b-4dc9-af69-9c1b2712e65d.html,app stops working,OB,x
P13,13,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P13-Android_Token-2.10-1bf66f2b-9a9b-4dc9-af69-9c1b2712e65d.html,app should delete the token,EB,x
P13,13,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P13-Android_Token-2.10-1bf66f2b-9a9b-4dc9-af69-9c1b2712e65d.html,"I click ""more options"" icon",S2R,
P13,13,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P13-Android_Token-2.10-1bf66f2b-9a9b-4dc9-af69-9c1b2712e65d.html,"I click ""add token""",S2R,
P13,13,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P13-Android_Token-2.10-1bf66f2b-9a9b-4dc9-af69-9c1b2712e65d.html,"I name the token ""test“",S2R,x
P13,13,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P13-Android_Token-2.10-1bf66f2b-9a9b-4dc9-af69-9c1b2712e65d.html,"I click ""next"" icon",S2R,
P13,13,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P13-Android_Token-2.10-1bf66f2b-9a9b-4dc9-af69-9c1b2712e65d.html,"I click ""generate random seed""",S2R,
P13,13,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P13-Android_Token-2.10-1bf66f2b-9a9b-4dc9-af69-9c1b2712e65d.html,"I click ""complete"" icon",S2R,
P13,13,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P13-Android_Token-2.10-1bf66f2b-9a9b-4dc9-af69-9c1b2712e65d.html,"I click ""more options"" icon",S2R,
P13,13,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P13-Android_Token-2.10-1bf66f2b-9a9b-4dc9-af69-9c1b2712e65d.html,"I click ""delete token"" icon",S2R,
P13,13,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P13-Android_Token-2.10-1bf66f2b-9a9b-4dc9-af69-9c1b2712e65d.html,I choose the token generated,S2R,x
P13,13,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P13-Android_Token-2.10-1bf66f2b-9a9b-4dc9-af69-9c1b2712e65d.html,"I click ""ok"" icon",S2R,
P19,19,DROID-CC5,DROID,1,http://rocco.cs.wm.edu:21203/P19-Droid_Weight-1.5.4-ce7cc88b-cef7-43f4-ae50-039f89654a3c.html,,,
P19,19,DROID-CC5,DROID,1,http://rocco.cs.wm.edu:21203/P19-Droid_Weight-1.5.4-ce7cc88b-cef7-43f4-ae50-039f89654a3c.html,the BMI calculator of statistics caused the DroidWeight to stop,OB,x
P19,19,DROID-CC5,DROID,1,http://rocco.cs.wm.edu:21203/P19-Droid_Weight-1.5.4-ce7cc88b-cef7-43f4-ae50-039f89654a3c.html,the BMI calculator should return correct statistics.,EB,x
P19,19,DROID-CC5,DROID,1,http://rocco.cs.wm.edu:21203/P19-Droid_Weight-1.5.4-ce7cc88b-cef7-43f4-ae50-039f89654a3c.html,I clicked statistics.,S2R,
P19,19,DROID-CC5,DROID,1,http://rocco.cs.wm.edu:21203/P19-Droid_Weight-1.5.4-ce7cc88b-cef7-43f4-ae50-039f89654a3c.html,I clicked BMI calculator,S2R,
P19,19,DROID-CC5,DROID,1,http://rocco.cs.wm.edu:21203/P19-Droid_Weight-1.5.4-ce7cc88b-cef7-43f4-ae50-039f89654a3c.html,I entered my height and weight and clicked go. (value = 50),S2R,
P19,19,DROID-CC5,DROID,1,http://rocco.cs.wm.edu:21203/P19-Droid_Weight-1.5.4-ce7cc88b-cef7-43f4-ae50-039f89654a3c.html,I clicked go,S2R,
P19,19,DROID-CC5,DROID,1,http://rocco.cs.wm.edu:21203/P19-Droid_Weight-1.5.4-ce7cc88b-cef7-43f4-ae50-039f89654a3c.html,no more,S2R,x
P19,19,APOD-CC3,APOD,2,http://rocco.cs.wm.edu:21203/P19-AntennaPod-1.6.2.3-0d31a8e5-929a-463d-bd03-81bb01dcccc0.html,,,
P19,19,APOD-CC3,APOD,2,http://rocco.cs.wm.edu:21203/P19-AntennaPod-1.6.2.3-0d31a8e5-929a-463d-bd03-81bb01dcccc0.html,it is red,OB,x
P19,19,APOD-CC3,APOD,2,http://rocco.cs.wm.edu:21203/P19-AntennaPod-1.6.2.3-0d31a8e5-929a-463d-bd03-81bb01dcccc0.html,it is blue,EB,x
P19,19,APOD-CC3,APOD,2,http://rocco.cs.wm.edu:21203/P19-AntennaPod-1.6.2.3-0d31a8e5-929a-463d-bd03-81bb01dcccc0.html,I click queue,S2R,
P19,19,APOD-CC3,APOD,2,http://rocco.cs.wm.edu:21203/P19-AntennaPod-1.6.2.3-0d31a8e5-929a-463d-bd03-81bb01dcccc0.html,I click subscription and add podcast,S2R,x
P19,19,APOD-CC3,APOD,2,http://rocco.cs.wm.edu:21203/P19-AntennaPod-1.6.2.3-0d31a8e5-929a-463d-bd03-81bb01dcccc0.html,I searched itunes with key word: tech,S2R,
P19,19,APOD-CC3,APOD,2,http://rocco.cs.wm.edu:21203/P19-AntennaPod-1.6.2.3-0d31a8e5-929a-463d-bd03-81bb01dcccc0.html,I subscribed the tech and returned to subscription ,S2R,x
P19,19,APOD-CC3,APOD,2,http://rocco.cs.wm.edu:21203/P19-AntennaPod-1.6.2.3-0d31a8e5-929a-463d-bd03-81bb01dcccc0.html,I noticed the subscription corner is red instead of blue,S2R,x
P19,19,APOD-CC3,APOD,2,http://rocco.cs.wm.edu:21203/P19-AntennaPod-1.6.2.3-0d31a8e5-929a-463d-bd03-81bb01dcccc0.html,no more,S2R,x
P19,19,APOD-CC3,APOD,2,http://rocco.cs.wm.edu:21203/P19-AntennaPod-1.6.2.3-0d31a8e5-929a-463d-bd03-81bb01dcccc0.html,end,S2R,x
P19,19,GNU-CC9,GNU,3,http://rocco.cs.wm.edu:21203/P19-GnuCash-2.1.3-dcd76237-a0c7-4717-a1f4-21ca2a03a06e.html,,,
P19,19,GNU-CC9,GNU,3,http://rocco.cs.wm.edu:21203/P19-GnuCash-2.1.3-dcd76237-a0c7-4717-a1f4-21ca2a03a06e.html,the balance sheets duplicate,OB,
P19,19,GNU-CC9,GNU,3,http://rocco.cs.wm.edu:21203/P19-GnuCash-2.1.3-dcd76237-a0c7-4717-a1f4-21ca2a03a06e.html,the sheet should not duplicate,EB,
P19,19,GNU-CC9,GNU,3,http://rocco.cs.wm.edu:21203/P19-GnuCash-2.1.3-dcd76237-a0c7-4717-a1f4-21ca2a03a06e.html,"Tap the ""btn save (NEXT)"" button",S2R,
P19,19,GNU-CC9,GNU,3,http://rocco.cs.wm.edu:21203/P19-GnuCash-2.1.3-dcd76237-a0c7-4717-a1f4-21ca2a03a06e.html,"Tap the ""btn save (NEXT)"" button",S2R,
P19,19,GNU-CC9,GNU,3,http://rocco.cs.wm.edu:21203/P19-GnuCash-2.1.3-dcd76237-a0c7-4717-a1f4-21ca2a03a06e.html,"Tap the ""btn save (DONE)"" button",S2R,
P19,19,GNU-CC9,GNU,3,http://rocco.cs.wm.edu:21203/P19-GnuCash-2.1.3-dcd76237-a0c7-4717-a1f4-21ca2a03a06e.html,"Tap the ""permission allow button (ALLOW)"" button",S2R,
P19,19,GNU-CC9,GNU,3,http://rocco.cs.wm.edu:21203/P19-GnuCash-2.1.3-dcd76237-a0c7-4717-a1f4-21ca2a03a06e.html,"Tap the ""Navigation drawer opened"" image button",S2R,
P19,19,GNU-CC9,GNU,3,http://rocco.cs.wm.edu:21203/P19-GnuCash-2.1.3-dcd76237-a0c7-4717-a1f4-21ca2a03a06e.html,"Tap the ""design menu item text (Reports)"" checked text view",S2R,
P19,19,GNU-CC9,GNU,3,http://rocco.cs.wm.edu:21203/P19-GnuCash-2.1.3-dcd76237-a0c7-4717-a1f4-21ca2a03a06e.html,I entered setting in the menu bar and returned later,S2R,x
P19,19,GNU-CC9,GNU,3,http://rocco.cs.wm.edu:21203/P19-GnuCash-2.1.3-dcd76237-a0c7-4717-a1f4-21ca2a03a06e.html,I see balance sheet duplicate,S2R,x
P3,3,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P3-AntennaPod-1.6.2.3-8f6449c3-34ac-4fa2-b287-544383c2641c.html,,,
P3,3,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P3-AntennaPod-1.6.2.3-8f6449c3-34ac-4fa2-b287-544383c2641c.html,I can´t add a podcast,OB,x
P3,3,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P3-AntennaPod-1.6.2.3-8f6449c3-34ac-4fa2-b287-544383c2641c.html,app should search for a podcast,EB,x
P3,3,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P3-AntennaPod-1.6.2.3-8f6449c3-34ac-4fa2-b287-544383c2641c.html,I clicked the button ADD PODCAST,S2R,
P3,3,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P3-AntennaPod-1.6.2.3-8f6449c3-34ac-4fa2-b287-544383c2641c.html,I clicked SEARCH ITUNES,S2R,
P3,3,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P3-AntennaPod-1.6.2.3-8f6449c3-34ac-4fa2-b287-544383c2641c.html,I clicked the search button,S2R,
P3,3,APOD-RB,APOD,1,http://rocco.cs.wm.edu:21203/P3-AntennaPod-1.6.2.3-8f6449c3-34ac-4fa2-b287-544383c2641c.html,"I entered ""mis"" on the search button",S2R,x
P3,3,DROID-CC6,DROID,2,http://rocco.cs.wm.edu:21203/P3-Droid_Weight-1.5.4-6ae5ed6b-0dce-44ad-b5ed-110aaaa86d17.html,,,
P3,3,DROID-CC6,DROID,2,http://rocco.cs.wm.edu:21203/P3-Droid_Weight-1.5.4-6ae5ed6b-0dce-44ad-b5ed-110aaaa86d17.html,I can´t add or delete a comment,OB,
P3,3,DROID-CC6,DROID,2,http://rocco.cs.wm.edu:21203/P3-Droid_Weight-1.5.4-6ae5ed6b-0dce-44ad-b5ed-110aaaa86d17.html,app should add or delete a comment,EB,
P3,3,DROID-CC6,DROID,2,http://rocco.cs.wm.edu:21203/P3-Droid_Weight-1.5.4-6ae5ed6b-0dce-44ad-b5ed-110aaaa86d17.html,Tap the view,S2R,
P3,3,DROID-CC6,DROID,2,http://rocco.cs.wm.edu:21203/P3-Droid_Weight-1.5.4-6ae5ed6b-0dce-44ad-b5ed-110aaaa86d17.html,I set my current weight,S2R,
P3,3,DROID-CC6,DROID,2,http://rocco.cs.wm.edu:21203/P3-Droid_Weight-1.5.4-6ae5ed6b-0dce-44ad-b5ed-110aaaa86d17.html,"I added a comment (value = I typed ""comment"" on the text field)",S2R,
P3,3,DROID-CC6,DROID,2,http://rocco.cs.wm.edu:21203/P3-Droid_Weight-1.5.4-6ae5ed6b-0dce-44ad-b5ed-110aaaa86d17.html,"Type a valid input on the ""comment (test)"" text field",S2R,
P3,3,DROID-CC6,DROID,2,http://rocco.cs.wm.edu:21203/P3-Droid_Weight-1.5.4-6ae5ed6b-0dce-44ad-b5ed-110aaaa86d17.html,"Tap the ""ok (Go)"" button",S2R,
P3,3,DROID-CC6,DROID,2,http://rocco.cs.wm.edu:21203/P3-Droid_Weight-1.5.4-6ae5ed6b-0dce-44ad-b5ed-110aaaa86d17.html,"Long tap the ""bmi (∞)"" text view",S2R,
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,,,
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,I couldn´t delete a token,OB,
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,the app should delete a token,EB,
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,"Tap the ""More options"" image button",S2R,
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,I tap add token ,S2R,
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,I clicked on the name text field,S2R,x
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,"Type a valid input on the ""token Name Edit (h)"" text field",S2R,
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,I clicked the OK button ,S2R,x
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,"Type a valid input on the ""token Name Edit (h)"" text field",S2R,
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,"Tap the ""btn Add Step 2 (NEXT >)"" button",S2R,
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,"Tap the ""token Add Complete (COMPLETE)"" button",S2R,
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,"Tap the ""action bar"" view group",S2R,
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,I clicked the delete button,S2R,
P3,3,TOK-CC2,TOKEN,3,http://rocco.cs.wm.edu:21203/P3-Android_Token-2.10-c9fce465-cc97-4219-abfd-7e52d18fa93a.html,"I clicked the OK button to delete the token ""test""",S2R,
P6,6,GNU-CC9,GNU,1,http://rocco.cs.wm.edu:21203/P6-GnuCash-2.1.3-765edb48-103d-4760-8e22-bb7b396cb872.html,,,
P6,6,GNU-CC9,GNU,1,http://rocco.cs.wm.edu:21203/P6-GnuCash-2.1.3-765edb48-103d-4760-8e22-bb7b396cb872.html,Balance sheet got duplicated.,OB,
P6,6,GNU-CC9,GNU,1,http://rocco.cs.wm.edu:21203/P6-GnuCash-2.1.3-765edb48-103d-4760-8e22-bb7b396cb872.html,The content of balance sheet should stay the same.,EB,
P6,6,GNU-CC9,GNU,1,http://rocco.cs.wm.edu:21203/P6-GnuCash-2.1.3-765edb48-103d-4760-8e22-bb7b396cb872.html,"Tap the ""btn save (NEXT)"" button",S2R,
P6,6,GNU-CC9,GNU,1,http://rocco.cs.wm.edu:21203/P6-GnuCash-2.1.3-765edb48-103d-4760-8e22-bb7b396cb872.html,"Tap the ""btn save (NEXT)"" button",S2R,
P6,6,GNU-CC9,GNU,1,http://rocco.cs.wm.edu:21203/P6-GnuCash-2.1.3-765edb48-103d-4760-8e22-bb7b396cb872.html,"Tap the ""btn save (NEXT)"" button",S2R,
