Transitions correctness: true

Transitions (168):
6059d4dda3465d1111ce3a1c0377fb4a13e38332eed2415803e478a772444e24: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:d0e4eb7d699f24028ea9ee4f7c2d1c983489089674ff75b4f5cfc8f617910bff): [id=null, ex=0, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=1.0 ds=CS sc=null ex=0
c6e1aeb075ca61b3d7404551dc78627794e5f5dfd3ab06642a93f4777a015509: (s:21c267ef898a5960eea0d8cc0c93ea6eb54b46d154921ccbd6255d36be1f406f,t:a598c6fe46909ff6c0cb340738090717492fed6ad7423352481b0895e97c298c): [id=null, ex=0, sq=0, act=(6) open app, cp=null, txt=, exp=, tr=null] weight=2.0 ds=TR sc=null ex=0

f5480316bfbdaaa11fd4769f2cd29cc30e5fd60203306a1f7c78193c89ffe7b1: (s:a598c6fe46909ff6c0cb340738090717492fed6ad7423352481b0895e97c298c,t:9be51eca0d36ee69e694c11a0054f327497959006f2bc475aea6d00e3b4c9763): [id=0, ex=0, sq=1, act=(0) click, cp=[, ty=Button, idx=btn_save, idnx=0, tx=Next, x=540, y=1668, h=126, w=540, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash1_augmented.png ex=0
99335b792bf6bf1c0296130c2bf486b01bea857d872f523af55913fa8f36e26c: (s:f7fa80abb6bba3037ad35bfceb9fdf9b1b511b804a4d32c068f6885883f07a80,t:46a5cd7557df4c4cb3ffc2c5be5eadf7b011aee781e00af15a53021d0b691187): [id=24, ex=0, sq=25, act=(0) click, cp=[, ty=Button, idx=btn_line_chart, idnx=0, tx=Line Chart, x=26, y=365, h=126, w=514, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash25_augmented.png ex=0
c59eb03c3a3c0d25eae5de3107cc298ee20175bfb4a759f4e52b33ddcba762d6: (s:f7fa80abb6bba3037ad35bfceb9fdf9b1b511b804a4d32c068f6885883f07a80,t:6b734048caff31284c2a81bcbc9d742c65fce893fba1097f9721231a47ad8975): [id=90, ex=0, sq=91, act=(0) click, cp=[, ty=Button, idx=btn_balance_sheet, idnx=1, tx=Sheet, x=540, y=365, h=126, w=514, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash91_augmented.png ex=0

df765d5893146d16787b53192defd02f2fb94fc7c2dcec37a156aaf3220b8706: (s:6b734048caff31284c2a81bcbc9d742c65fce893fba1097f9721231a47ad8975,t:47827755087d7cb1b5980d74e7f3e17fdc952c080fa24c0f5fa6c7d2ed5ef45f): [id=91, ex=0, sq=92, act=(0) click, cp=[, ty=ImageButton, idx=, idnx=0, tx=, x=0, y=66, h=147, w=147, dsc=Navigation drawer opened], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash92_augmented.png ex=0

0d3e7ac0dc490401fb632bfb8e14be89de1cafb4065fbc8541fd7f18b0672a6f: (s:47827755087d7cb1b5980d74e7f3e17fdc952c080fa24c0f5fa6c7d2ed5ef45f,t:50f4df7073d48e729fab0b0d2ee23cfdbda3a063e990c8b5d703011f3883c918): [id=92, ex=0, sq=93, act=(0) click, cp=[, ty=CheckedTextView, idx=design_menu_item_text, idnx=0, tx=Help & Feedback, x=42, y=1556, h=126, w=651, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash93_augmented.png ex=0

6f0c4c850ca2476da0080e9e3463b00cbf8e0c2547a4f5b7d3757b53e31aab3c: (s:50f4df7073d48e729fab0b0d2ee23cfdbda3a063e990c8b5d703011f3883c918,t:2bf3774b4c7b5aa1c9fd806942e6ac4782cdb3179cb8657edb53fb1e73c09ff2): [id=93, ex=0, sq=94, act=(0) click, cp=[, ty=TextView, idx=uv_action_contact, idnx=1, tx=, x=954, y=76, h=126, w=126, dsc=Contact us], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash94_augmented.png ex=0
7286947ad1b3bc1fa1acf40f9f9e9b09f4a7b262607022cbf654c482b5ce12ce: (s:50f4df7073d48e729fab0b0d2ee23cfdbda3a063e990c8b5d703011f3883c918,t:a11df0fd612e8bef9a553bdf8a217a553582c480a6f801a070a89429957300df): [id=95, ex=0, sq=96, act=(0) click, cp=[, ty=ImageButton, idx=, idnx=0, tx=, x=0, y=66, h=147, w=147, dsc=Navigate up], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash96_augmented.png ex=0
fb2f5eb85f055e4eef52199f13a3c001a300dec41caf0b3e28888157451176f4: (s:50f4df7073d48e729fab0b0d2ee23cfdbda3a063e990c8b5d703011f3883c918,t:26cf0a0118faeaea6bc03117d1ba03f56a38e91f45b67c6f544c277bd85c3c22): [id=102, ex=0, sq=103, act=(0) click, cp=[, ty=LinearLayout, idx=, idnx=0, tx=, x=26, y=813, h=168, w=1028, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash103_augmented.png ex=0
89f0bfa6c6b3207273a8a5bf2c047489732243a1ab87f0a2b6f9ab952ac9050f: (s:50f4df7073d48e729fab0b0d2ee23cfdbda3a063e990c8b5d703011f3883c918,t:cba1347d043ca900e8aa8f9b581bf01de6fd494b39e87c7f96de21fa9052eae7): [id=105, ex=0, sq=106, act=(0) click, cp=[, ty=ImageButton, idx=, idnx=0, tx=, x=0, y=66, h=147, w=147, dsc=Navigate up], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash106_augmented.png ex=0

a2f918ba8c4d421d49c02a71c376158960ab8b820a153b5c0de272b11f7d3f6b: (s:cba1347d043ca900e8aa8f9b581bf01de6fd494b39e87c7f96de21fa9052eae7,t:e977f6b59086196d8e83541a1be52906e7116239ecc237dcc91afa5ff1f7af22): [id=106, ex=0, sq=107, act=(0) click, cp=[, ty=ImageButton, idx=, idnx=0, tx=, x=0, y=66, h=147, w=147, dsc=Navigation drawer opened], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash107_augmented.png ex=0

818690ec63f6cf871bae58aae7293634adee0ab5c357336f504465aea00d646b: (s:e977f6b59086196d8e83541a1be52906e7116239ecc237dcc91afa5ff1f7af22,t:de9a87c14ebecc273676c66725b29dc813f87dce63a76ff18acd5545a601c06a): [id=107, ex=0, sq=108, act=(0) click, cp=[, ty=TextView, idx=, idnx=2, tx=Liabilities, x=26, y=1076, h=63, w=1028, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash108_augmented.png ex=0

df3ff0122c5930281725891d1f0cf4ce0031495f2cd504d45ba891516c91bbcd: (s:de9a87c14ebecc273676c66725b29dc813f87dce63a76ff18acd5545a601c06a,t:50dc8f17eb9ccfa02086850ae005dcd98f9704fe64cc96389baacf1fcd8caad2): [id=108, ex=0, sq=109, act=(0) click, cp=[, ty=TextView, idx=, idnx=0, tx=Exports, x=730, y=250, h=51, w=160, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash109_augmented.png ex=0

d9bbc3d4ec656a13ef9edab02a97a0acea9e366470523a000efbd752a1a30503: (s:50dc8f17eb9ccfa02086850ae005dcd98f9704fe64cc96389baacf1fcd8caad2,t:4b9710702ebf07baa5f0352700487711fb7b0a88bb39913e46c52e4d671208c9): [id=109, ex=0, sq=110, act=(0) click, cp=[, ty=TextView, idx=menu_add_scheduled_export, idnx=0, tx=, x=954, y=76, h=126, w=126, dsc=Create export schedule], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash110_augmented.png ex=0

1dab7f670e4fbaeaac874f609b8b2f54291f0abdeb509f264888b0563e1e844d: (s:4b9710702ebf07baa5f0352700487711fb7b0a88bb39913e46c52e4d671208c9,t:1c6fe7f84a4d14ad0b03367f3e7a5dc5d2dd97d527063787545753ea82f462e1): [id=110, ex=0, sq=111, act=(0) click, cp=[, ty=RadioButton, idx=radio_xml_format, idnx=1, tx=XML, x=475, y=449, h=84, w=159, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash111_augmented.png ex=0

662ff75041299e6b19b6c22661aa6af379bf94e2327dc8030af4209ee1028d6d: (s:1c6fe7f84a4d14ad0b03367f3e7a5dc5d2dd97d527063787545753ea82f462e1,t:1c6fe7f84a4d14ad0b03367f3e7a5dc5d2dd97d527063787545753ea82f462e1): [id=111, ex=0, sq=112, act=(0) click, cp=[, ty=CheckBox, idx=checkbox_post_export_delete, idnx=3, tx=Delete transactions after export, x=26, y=656, h=84, w=743, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash112_augmented.png ex=0
769951e43398a8925d9e93eebb914acaa27c1bc416aee45eb4c25271c4b8ba92: (s:1c6fe7f84a4d14ad0b03367f3e7a5dc5d2dd97d527063787545753ea82f462e1,t:eb11e43fb68de36fde35b98680b866cdc44aca80736896e3c983dde1de1c1c87): [id=112, ex=0, sq=113, act=(0) click, cp=[, ty=TextView, idx=menu_save, idnx=0, tx=Export, x=883, y=76, h=126, w=197, dsc=Export], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash113_augmented.png ex=0


b2f39243863851e014992b62ca333ffaebca60d0475930e85cc558f398feb7cc: (s:26cf0a0118faeaea6bc03117d1ba03f56a38e91f45b67c6f544c277bd85c3c22,t:e6c3da1e10206be9e48061ff0e0221a813a22fb06550cfa4f4e93d32544b854f): [id=103, ex=0, sq=104, act=(0) click, cp=[, ty=Button, idx=button2, idnx=0, tx=No, x=643, y=1605, h=126, w=168, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash104_augmented.png ex=0

a09e504c5bcb1c322280bb7a0d296eb6b508a9eb0ba63ccf17739935f76a6f75: (s:e6c3da1e10206be9e48061ff0e0221a813a22fb06550cfa4f4e93d32544b854f,t:50f4df7073d48e729fab0b0d2ee23cfdbda3a063e990c8b5d703011f3883c918): [id=104, ex=0, sq=105, act=(0) click, cp=[, ty=Button, idx=button2, idnx=0, tx=No, x=643, y=922, h=126, w=168, dsc=], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash105_augmented.png ex=0

928dbd2cfde0daf3e979b45f303fcac88f7e431c2b12e97a77eb1e7bd0dd7c01: (s:a11df0fd612e8bef9a553bdf8a217a553582c480a6f801a070a89429957300df,t:0737daba6d202068845d69773082800e511ae71c249bee69bbfb37b3b4d28b15): [id=98, ex=0, sq=99, act=(0) click, cp=[, ty=ImageView, idx=, idnx=0, tx=, x=985, y=76, h=126, w=95, dsc=More options], txt=, exp=, tr=null] weight=2.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash99_augmented.png ex=0
c80a2cc48517865e6f721ea9fdb3d6007802de7c944f1cd8bbc7e6bd7d3b2bae: (s:a11df0fd612e8bef9a553bdf8a217a553582c480a6f801a070a89429957300df,t:0806dc272fe481d5ef8396d05ff615057a9bc4648cd4baa02175f50ac06be106): [id=96, ex=0, sq=97, act=(0) click, cp=[, ty=ImageButton, idx=, idnx=0, tx=, x=0, y=66, h=147, w=147, dsc=Navigation drawer opened], txt=, exp=, tr=null] weight=3.0 ds=TR sc=org.gnucash.android.User-Trace.1.org.gnucash.android_2.1.3_gnucash101_augmented.png ex=0

